
Loading model on rank 0
Found parameter blocks.14.att.time_maa_r in 0
Found parameter blocks.14.att.time_maa_g in 0
Found parameter blocks.14.att.time_decay in 0
Found parameter blocks.14.att.time_faaaa in 0
Found parameter blocks.14.att.ln_x.weight in 0
Found parameter blocks.14.att.ln_x.bias in 0
Found parameter blocks.14.ffn.time_maa_k in 0
Found parameter blocks.14.ffn.time_maa_r in 0
Found parameter blocks.15.ln1.weight in 0
Found parameter blocks.15.ln1.bias in 0
Found parameter blocks.15.ln2.weight in 0
Found parameter blocks.15.ln2.bias in 0
Found parameter blocks.15.att.time_maa_x in 0
Found parameter blocks.15.att.time_maa_w in 0
Found parameter blocks.15.att.time_maa_k in 0
Found parameter blocks.15.att.time_maa_v in 0
Found parameter blocks.15.att.time_maa_r in 0
Found parameter blocks.15.att.time_maa_g in 0
Found parameter blocks.15.att.time_decay in 0
Found parameter blocks.15.att.time_faaaa in 0
Found parameter blocks.15.att.ln_x.weight in 0
Found parameter blocks.15.att.ln_x.bias in 0
Found parameter blocks.15.ffn.time_maa_k in 0
Found parameter blocks.15.ffn.time_maa_r in 0
Found parameter blocks.16.ln1.weight in 0
Found parameter blocks.16.ln1.bias in 0
Found parameter blocks.16.ln2.weight in 0
Found parameter blocks.16.ln2.bias in 0
Found parameter blocks.16.att.time_maa_x in 0
Found parameter blocks.16.att.time_maa_w in 0
Found parameter blocks.16.att.time_maa_k in 0
Found parameter blocks.16.att.time_maa_v in 0
Found parameter blocks.16.att.time_maa_r in 0
Found parameter blocks.16.att.time_maa_g in 0
Found parameter blocks.16.att.time_decay in 0
Found parameter blocks.16.att.time_faaaa in 0
Found parameter blocks.16.att.ln_x.weight in 0
Found parameter blocks.16.att.ln_x.bias in 0
Found parameter blocks.16.ffn.time_maa_k in 0
Found parameter blocks.16.ffn.time_maa_r in 0
Found parameter blocks.17.ln1.weight in 0
Found parameter blocks.17.ln1.bias in 0
Found parameter blocks.17.ln2.weight in 0
Found parameter blocks.17.ln2.bias in 0
Found parameter blocks.17.att.time_maa_x in 0
Found parameter blocks.17.att.time_maa_w in 0
Found parameter blocks.17.att.time_maa_k in 0
Found parameter blocks.17.att.time_maa_v in 0
Found parameter blocks.17.att.time_maa_r in 0
Found parameter blocks.17.att.time_maa_g in 0
Found parameter blocks.17.att.time_decay in 0
Found parameter blocks.17.att.time_faaaa in 0
Found parameter blocks.17.att.ln_x.weight in 0
Found parameter blocks.17.att.ln_x.bias in 0
Found parameter blocks.17.ffn.time_maa_k in 0
Found parameter blocks.17.ffn.time_maa_r in 0
Found parameter blocks.18.ln1.weight in 0
Found parameter blocks.18.ln1.bias in 0
Found parameter blocks.18.ln2.weight in 0
Found parameter blocks.18.ln2.bias in 0
Found parameter blocks.18.att.time_maa_x in 0
Found parameter blocks.18.att.time_maa_w in 0
Found parameter blocks.18.att.time_maa_k in 0
Found parameter blocks.18.att.time_maa_v in 0
Found parameter blocks.18.att.time_maa_r in 0
Found parameter blocks.18.att.time_maa_g in 0
Found parameter blocks.18.att.time_decay in 0
Found parameter blocks.18.att.time_faaaa in 0
Found parameter blocks.18.att.ln_x.weight in 0
Found parameter blocks.18.att.ln_x.bias in 0
Found parameter blocks.18.ffn.time_maa_k in 0
Found parameter blocks.18.ffn.time_maa_r in 0
Found parameter blocks.19.ln1.weight in 0
Found parameter blocks.19.ln1.bias in 0
Found parameter blocks.19.ln2.weight in 0
Found parameter blocks.19.ln2.bias in 0
Found parameter blocks.19.att.time_maa_x in 0
Found parameter blocks.19.att.time_maa_w in 0
Found parameter blocks.19.att.time_maa_k in 0
Found parameter blocks.19.att.time_maa_v in 0
Found parameter blocks.19.att.time_maa_r in 0
Found parameter blocks.19.att.time_maa_g in 0
Found parameter blocks.19.att.time_decay in 0
Found parameter blocks.19.att.time_faaaa in 0
Found parameter blocks.19.att.ln_x.weight in 0
Found parameter blocks.19.att.ln_x.bias in 0
Found parameter blocks.19.ffn.time_maa_k in 0
Found parameter blocks.19.ffn.time_maa_r in 0
Found parameter blocks.20.ln1.weight in 0
Found parameter blocks.20.ln1.bias in 0
Found parameter blocks.20.ln2.weight in 0
Found parameter blocks.20.ln2.bias in 0
Found parameter blocks.20.att.time_maa_x in 0
Found parameter blocks.20.att.time_maa_w in 0
Found parameter blocks.20.att.time_maa_k in 0
Found parameter blocks.20.att.time_maa_v in 0
Found parameter blocks.20.att.time_maa_r in 0
Found parameter blocks.20.att.time_maa_g in 0
Found parameter blocks.20.att.time_decay in 0
Found parameter blocks.20.att.time_faaaa in 0
Found parameter blocks.20.att.ln_x.weight in 0
Found parameter blocks.20.att.ln_x.bias in 0
Found parameter blocks.20.ffn.time_maa_k in 0
Found parameter blocks.20.ffn.time_maa_r in 0
Found parameter blocks.21.ln1.weight in 0
Found parameter blocks.21.ln1.bias in 0
Found parameter blocks.21.ln2.weight in 0
Found parameter blocks.21.ln2.bias in 0
Found parameter blocks.21.att.time_maa_x in 0
Found parameter blocks.21.att.time_maa_w in 0
Found parameter blocks.21.att.time_maa_k in 0
Found parameter blocks.21.att.time_maa_v in 0
Found parameter blocks.21.att.time_maa_r in 0
Found parameter blocks.21.att.time_maa_g in 0
Found parameter blocks.21.att.time_decay in 0
Found parameter blocks.21.att.time_faaaa in 0
Found parameter blocks.21.att.ln_x.weight in 0
Found parameter blocks.21.att.ln_x.bias in 0
Found parameter blocks.21.ffn.time_maa_k in 0
Found parameter blocks.21.ffn.time_maa_r in 0
Found parameter blocks.22.ln1.weight in 0
Found parameter blocks.22.ln1.bias in 0
Found parameter blocks.22.ln2.weight in 0
Found parameter blocks.22.ln2.bias in 0
Found parameter blocks.22.att.time_maa_x in 0
Found parameter blocks.22.att.time_maa_w in 0
Found parameter blocks.22.att.time_maa_k in 0
Found parameter blocks.22.att.time_maa_v in 0
Found parameter blocks.22.att.time_maa_r in 0
Found parameter blocks.22.att.time_maa_g in 0
Found parameter blocks.22.att.time_decay in 0
Found parameter blocks.22.att.time_faaaa in 0
Found parameter blocks.22.att.ln_x.weight in 0
Found parameter blocks.22.att.ln_x.bias in 0
Found parameter blocks.22.ffn.time_maa_k in 0
Found parameter blocks.22.ffn.time_maa_r in 0
Found parameter blocks.23.ln1.weight in 0
Found parameter blocks.23.ln1.bias in 0
Found parameter blocks.23.ln2.weight in 0
Found parameter blocks.23.ln2.bias in 0
Found parameter blocks.23.att.time_maa_x in 0
Found parameter blocks.23.att.time_maa_w in 0
Found parameter blocks.23.att.time_maa_k in 0
Found parameter blocks.23.att.time_maa_v in 0
Found parameter blocks.23.att.time_maa_r in 0
Found parameter blocks.23.att.time_maa_g in 0
Found parameter blocks.23.att.time_decay in 0
Found parameter blocks.23.att.time_faaaa in 0
Found parameter blocks.23.att.ln_x.weight in 0
Found parameter blocks.23.att.ln_x.bias in 0
Found parameter blocks.23.ffn.time_maa_k in 0
Found parameter blocks.23.ffn.time_maa_r in 0
Found parameter blocks.24.ln1.weight in 0
Found parameter blocks.24.ln1.bias in 0
Found parameter blocks.24.ln2.weight in 0
Found parameter blocks.24.ln2.bias in 0
Found parameter blocks.24.att.time_maa_x in 0
Found parameter blocks.24.att.time_maa_w in 0
Found parameter blocks.24.att.time_maa_k in 0
Found parameter blocks.24.att.time_maa_v in 0
Found parameter blocks.24.att.time_maa_r in 0
Found parameter blocks.24.att.time_maa_g in 0
Found parameter blocks.24.att.time_decay in 0
Found parameter blocks.24.att.time_faaaa in 0
Found parameter blocks.24.att.ln_x.weight in 0
Found parameter blocks.24.att.ln_x.bias in 0
Found parameter blocks.24.ffn.time_maa_k in 0
Found parameter blocks.24.ffn.time_maa_r in 0
Found parameter blocks.25.ln1.weight in 0
Found parameter blocks.25.ln1.bias in 0
Found parameter blocks.25.ln2.weight in 0
Found parameter blocks.25.ln2.bias in 0
Found parameter blocks.25.att.time_maa_x in 0
Found parameter blocks.25.att.time_maa_w in 0
Found parameter blocks.25.att.time_maa_k in 0
Found parameter blocks.25.att.time_maa_v in 0
Found parameter blocks.25.att.time_maa_r in 0
Found parameter blocks.25.att.time_maa_g in 0
Found parameter blocks.25.att.time_decay in 0
Found parameter blocks.25.att.time_faaaa in 0
Found parameter blocks.25.att.ln_x.weight in 0
Found parameter blocks.25.att.ln_x.bias in 0
Found parameter blocks.25.ffn.time_maa_k in 0
Found parameter blocks.25.ffn.time_maa_r in 0
Found parameter blocks.26.ln1.weight in 0
Found parameter blocks.26.ln1.bias in 0
Found parameter blocks.26.ln2.weight in 0
Found parameter blocks.26.ln2.bias in 0
Found parameter blocks.26.att.time_maa_x in 0
Found parameter blocks.26.att.time_maa_w in 0
Found parameter blocks.26.att.time_maa_k in 0
Found parameter blocks.26.att.time_maa_v in 0
Found parameter blocks.26.att.time_maa_r in 0
Found parameter blocks.26.att.time_maa_g in 0
Found parameter blocks.26.att.time_decay in 0
Found parameter blocks.26.att.time_faaaa in 0
Found parameter blocks.26.att.ln_x.weight in 0
Found parameter blocks.26.att.ln_x.bias in 0
Found parameter blocks.26.ffn.time_maa_k in 0
Found parameter blocks.26.ffn.time_maa_r in 0
Found parameter blocks.27.ln1.weight in 0
Found parameter blocks.27.ln1.bias in 0
Found parameter blocks.27.ln2.weight in 0
Found parameter blocks.27.ln2.bias in 0
Found parameter blocks.27.att.time_maa_x in 0
Found parameter blocks.27.att.time_maa_w in 0
Found parameter blocks.27.att.time_maa_k in 0
Found parameter blocks.27.att.time_maa_v in 0
Found parameter blocks.27.att.time_maa_r in 0
Found parameter blocks.27.att.time_maa_g in 0
Found parameter blocks.27.att.time_decay in 0
Found parameter blocks.27.att.time_faaaa in 0
Found parameter blocks.27.att.ln_x.weight in 0
Found parameter blocks.27.att.ln_x.bias in 0
Found parameter blocks.27.ffn.time_maa_k in 0
Found parameter blocks.27.ffn.time_maa_r in 0
Found parameter blocks.28.ln1.weight in 0
Found parameter blocks.28.ln1.bias in 0
Found parameter blocks.28.ln2.weight in 0
Found parameter blocks.28.ln2.bias in 0
Found parameter blocks.28.att.time_maa_x in 0
Found parameter blocks.28.att.time_maa_w in 0
Found parameter blocks.28.att.time_maa_k in 0
Found parameter blocks.28.att.time_maa_v in 0
Found parameter blocks.28.att.time_maa_r in 0
Found parameter blocks.28.att.time_maa_g in 0
Found parameter blocks.28.att.time_decay in 0
Found parameter blocks.28.att.time_faaaa in 0
Found parameter blocks.28.att.ln_x.weight in 0
Found parameter blocks.28.att.ln_x.bias in 0
Found parameter blocks.28.ffn.time_maa_k in 0
Found parameter blocks.28.ffn.time_maa_r in 0
Found parameter blocks.29.ln1.weight in 0
Found parameter blocks.29.ln1.bias in 0
Found parameter blocks.29.ln2.weight in 0
Found parameter blocks.29.ln2.bias in 0
Found parameter blocks.29.att.time_maa_x in 0
Found parameter blocks.29.att.time_maa_w in 0
Found parameter blocks.29.att.time_maa_k in 0
Found parameter blocks.29.att.time_maa_v in 0
Found parameter blocks.29.att.time_maa_r in 0
Found parameter blocks.29.att.time_maa_g in 0
Found parameter blocks.29.att.time_decay in 0
Found parameter blocks.29.att.time_faaaa in 0
Found parameter blocks.29.att.ln_x.weight in 0
Found parameter blocks.29.att.ln_x.bias in 0
Found parameter blocks.29.ffn.time_maa_k in 0
Found parameter blocks.29.ffn.time_maa_r in 0
Found parameter blocks.30.ln1.weight in 0
Found parameter blocks.30.ln1.bias in 0
Found parameter blocks.30.ln2.weight in 0
Found parameter blocks.30.ln2.bias in 0
Found parameter blocks.30.att.time_maa_x in 0
Found parameter blocks.30.att.time_maa_w in 0
Found parameter blocks.30.att.time_maa_k in 0
Found parameter blocks.30.att.time_maa_v in 0
Found parameter blocks.30.att.time_maa_r in 0
Found parameter blocks.30.att.time_maa_g in 0
Found parameter blocks.30.att.time_decay in 0
Found parameter blocks.30.att.time_faaaa in 0
Found parameter blocks.30.att.ln_x.weight in 0
Found parameter blocks.30.att.ln_x.bias in 0
Found parameter blocks.30.ffn.time_maa_k in 0
Found parameter blocks.30.ffn.time_maa_r in 0
Found parameter blocks.31.ln1.weight in 0
Found parameter blocks.31.ln1.bias in 0
Found parameter blocks.31.ln2.weight in 0
Found parameter blocks.31.ln2.bias in 0
Found parameter blocks.31.att.time_maa_x in 0
Found parameter blocks.31.att.time_maa_w in 0
Found parameter blocks.31.att.time_maa_k in 0
Found parameter blocks.31.att.time_maa_v in 0
Found parameter blocks.31.att.time_maa_r in 0
Found parameter blocks.31.att.time_maa_g in 0
Found parameter blocks.31.att.time_decay in 0
Found parameter blocks.31.att.time_faaaa in 0
Found parameter blocks.31.att.ln_x.weight in 0
Found parameter blocks.31.att.ln_x.bias in 0
Found parameter blocks.31.ffn.time_maa_k in 0
Found parameter blocks.31.ffn.time_maa_r in 0
Found parameter ln_out.weight in 0
Found parameter ln_out.bias in 0
Updated 517 keys
Traceback (most recent call last):
  File "/workspace/nathan/RWKV-LM/RWKV-v5/train.py", line 342, in <module>
    trainer.fit(model, data_loader)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/trainer/trainer.py", line 544, in fit
    call._call_and_handle_interrupt(
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/trainer/call.py", line 43, in _call_and_handle_interrupt
    return trainer.strategy.launcher.launch(trainer_fn, *args, trainer=trainer, **kwargs)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/strategies/launchers/subprocess_script.py", line 105, in launch
    return function(*args, **kwargs)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/trainer/trainer.py", line 580, in _fit_impl
    self._run(model, ckpt_path=ckpt_path)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/trainer/trainer.py", line 987, in _run
    results = self._run_stage()
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/trainer/trainer.py", line 1033, in _run_stage
    self.fit_loop.run()
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/loops/fit_loop.py", line 205, in run
    self.advance()
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/loops/fit_loop.py", line 363, in advance
    self.epoch_loop.run(self._data_fetcher)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/loops/training_epoch_loop.py", line 140, in run
    self.advance(data_fetcher)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/loops/training_epoch_loop.py", line 250, in advance
    batch_output = self.automatic_optimization.run(trainer.optimizers[0], batch_idx, kwargs)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/loops/optimization/automatic.py", line 190, in run
    self._optimizer_step(batch_idx, closure)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/loops/optimization/automatic.py", line 268, in _optimizer_step
    call._call_lightning_module_hook(
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/trainer/call.py", line 157, in _call_lightning_module_hook
    output = fn(*args, **kwargs)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/core/module.py", line 1303, in optimizer_step
    optimizer.step(closure=optimizer_closure)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/core/optimizer.py", line 152, in step
    step_output = self._strategy.optimizer_step(self._optimizer, closure, **kwargs)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/strategies/ddp.py", line 270, in optimizer_step
    optimizer_output = super().optimizer_step(optimizer, closure, model, **kwargs)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/strategies/strategy.py", line 239, in optimizer_step
    return self.precision_plugin.optimizer_step(optimizer, model=model, closure=closure, **kwargs)
  File "/usr/local/lib/python3.10/dist-packages/pytorch_lightning/plugins/precision/deepspeed.py", line 139, in optimizer_step
    return deepspeed_engine.step(**kwargs)
  File "/usr/local/lib/python3.10/dist-packages/deepspeed/runtime/engine.py", line 2169, in step
    self._take_model_step(lr_kwargs)
  File "/usr/local/lib/python3.10/dist-packages/deepspeed/runtime/engine.py", line 2075, in _take_model_step
    self.optimizer.step()
  File "/usr/local/lib/python3.10/dist-packages/deepspeed/utils/nvtx.py", line 15, in wrapped_fn
    ret_val = func(*args, **kwargs)
  File "/usr/local/lib/python3.10/dist-packages/deepspeed/runtime/zero/stage3.py", line 2050, in step
    self._optimizer_step(sub_group_id)
  File "/usr/local/lib/python3.10/dist-packages/deepspeed/runtime/zero/stage3.py", line 947, in _optimizer_step
    self.optimizer.step()
  File "/usr/local/lib/python3.10/dist-packages/torch/optim/optimizer.py", line 373, in wrapper
    out = func(*args, **kwargs)
  File "/usr/local/lib/python3.10/dist-packages/deepspeed/ops/adam/fused_adam.py", line 147, in step
    state = self.state[p]
KeyError: tensor([-0.0040,  0.0083, -0.0048,  ...,  1.0000,  1.0000,  1.0000],
       device='cuda:0', requires_grad=True)
